pruid,prename,report_date,numtotal_all_administered,as_of_date,numtotal_dose1_administered,numtotal_dose2_administered,numtotal_dose3_administered,numtotal_dose4_administered,updated
1,Canada,2022-05-08,83496654,2022-05-08,32559117,30757723,18297157,1002234,1
59,British Columbia,2022-05-09,11637908,2022-04-30,4507978,4359500,2721848,48479,0
48,Alberta,2022-05-09,8741621,2022-05-02,3590613,3392584,1658116,100308,0
47,Saskatchewan,2022-05-09,2447113,2022-04-30,973244,912817,495206,65350,0
46,Manitoba,2022-05-09,2844095,2022-04-24,"1,511,574","973,222","357,556",1743,0
35,Ontario,2022-05-09,32295799,2022-05-08,12318857,11871903,7317078,787766,1
24,Quebec,2022-05-09,19661686,2022-05-08,7309876,7010208,4413929,,1
13,New Brunswick,2022-05-09,1756834,2022-04-24,699157,660028,390598,7046,0
12,Nova Scotia,2022-05-09,2273131,2022-04-24,899803,852534,519856,938,0
11,Prince Edward Island,2022-05-09,371792,2022-05-08,145575,140773,81663,3781,0
10,Newfoundland and Labrador,2022-05-09,1265597,2022-04-24,491827,478598,292390,2782,0
60,Yukon,2022-05-09,95717,2022-05-08,37780,36755,20414,768,0
61,Northwest Territories,2022-05-09,101146,2022-05-08,41018,39563,20010,555,0
62,Nunavut,2022-05-09,78522,2022-05-08,32492,29911,15732,387,0
1,Canada,2022-05-09,83570961,2022-05-09,32559794,30758396,18304396,1019903,1
59,British Columbia,2022-05-10,11637908,2022-04-30,4507978,4359500,2721848,48479,0
48,Alberta,2022-05-10,8741621,2022-05-02,3590613,3392584,1658116,100308,0
47,Saskatchewan,2022-05-10,2447113,2022-04-30,973244,912817,495206,65350,0
46,Manitoba,2022-05-10,2844095,2022-04-24,1511574,973222,357556,1743,0
35,Ontario,2022-05-10,32324636,2022-05-09,12319678,11872918,7319670,812160,1
24,Quebec,2022-05-10,19674426,2022-05-09,7309876,7010208,4415092,,1
13,New Brunswick,2022-05-10,1756834,2022-04-24,699157,660028,390598,7046,0
12,Nova Scotia,2022-05-10,2273131,2022-04-24,899803,852534,519856,938,0
11,Prince Edward Island,2022-05-10,371792,2022-05-08,145575,140773,81663,3781,0
10,Newfoundland and Labrador,2022-05-10,1265597,2022-04-24,491827,478598,292390,2782,0
60,Yukon,2022-05-10,95717,2022-05-08,37780,36755,20414,768,0
61,Northwest Territories,2022-05-10,101146,2022-05-08,41018,39563,20010,555,0
62,Nunavut,2022-05-10,78522,2022-05-08,32492,29911,15732,387,0
1,Canada,2022-05-10,83612538,2022-05-10,32560615,30759411,18308151,1044297,1
59,British Columbia,2022-05-11,11637908,2022-04-30,4507978,4359500,2721848,48479,0
48,Alberta,2022-05-11,8772287,2022-05-09,3592519,3394959,1664080,120729,1
47,Saskatchewan,2022-05-11,2447113,2022-04-30,973244,912817,495206,65350,0
46,Manitoba,2022-05-11,2844095,2022-04-24,1511574,973222,357556,1743,0
35,Ontario,2022-05-11,32352775,2022-05-10,12320463,11873946,7322139,836003,1
24,Quebec,2022-05-11,19693676,2022-05-10,7309876,7010208,4416793,,1
13,New Brunswick,2022-05-11,1756834,2022-04-24,699157,660028,390598,7046,0
12,Nova Scotia,2022-05-11,2273131,2022-04-24,899803,852534,519856,938,0
11,Prince Edward Island,2022-05-11,371792,2022-05-08,145575,140773,81663,3781,0
10,Newfoundland and Labrador,2022-05-11,1265597,2022-04-24,491827,478598,292390,2782,0
60,Yukon,2022-05-11,95717,2022-05-08,37780,36755,20414,768,0
61,Northwest Territories,2022-05-11,101146,2022-05-08,41018,39563,20010,555,0
62,Nunavut,2022-05-11,78522,2022-05-08,32492,29911,15732,387,0
1,Canada,2022-05-11,83690593,2022-05-11,32563306,30762814,18318285,1088561,1
59,British Columbia,2022-05-12,11675163,2022-05-07,4510153,4362832,2730250,71802,1
48,Alberta,2022-05-12,8772287,2022-05-09,3592519,3394959,1664080,120729,0
47,Saskatchewan,2022-05-12,2470905,2022-05-07,973559,913292,496819,86119,1
46,Manitoba,2022-05-12,2844095,2022-04-24,1511574,973222,357556,1743,0
35,Ontario,2022-05-12,32380244,2022-05-11,12321323,11875013,7324563,859103,1
24,Quebec,2022-05-12,19713093,2022-05-11,7309876,7010208,4418911,,1
13,New Brunswick,2022-05-12,1756834,2022-04-24,699157,660028,390598,7046,0
12,Nova Scotia,2022-05-12,2273131,2022-04-24,899803,852534,519856,938,0
11,Prince Edward Island,2022-05-12,371792,2022-05-08,145575,140773,81663,3781,0
10,Newfoundland and Labrador,2022-05-12,1265597,2022-04-24,491827,478598,292390,2782,0
60,Yukon,2022-05-12,95717,2022-05-08,37780,36755,20414,768,0
61,Northwest Territories,2022-05-12,101146,2022-05-08,41018,39563,20010,555,0
62,Nunavut,2022-05-12,78522,2022-05-08,32492,29911,15732,387,0
1,Canada,2022-05-12,83798526,2022-05-12,32566656,30767688,18332842,1155753,1
59,British Columbia,2022-05-13,11675163,2022-05-07,4510153,4362832,2730250,71802,0
48,Alberta,2022-05-13,8772287,2022-05-09,3592519,3394959,1664080,120729,0
47,Saskatchewan,2022-05-13,2470905,2022-05-07,973559,913292,496819,86119,0
46,Manitoba,2022-05-13,2853250,2022-05-08,1513737,974934,360447,4125,1
35,Ontario,2022-05-13,32405828,2022-05-12,12322108,11876065,7327131,880258,1
24,Quebec,2022-05-13,19734481,2022-05-12,7311326,7013438,4420835,,1
13,New Brunswick,2022-05-13,1766829,2022-05-08,699517,660511,392371,14413,1
12,Nova Scotia,2022-05-13,2313071,2022-05-08,900298,853736,524532,34505,1
11,Prince Edward Island,2022-05-13,371792,2022-05-08,145575,140773,81663,3781,0
10,Newfoundland and Labrador,2022-05-13,1270170,2022-05-08,492093,479186,294421,4444,1
60,Yukon,2022-05-13,95717,2022-05-08,37780,36755,20414,768,0
61,Northwest Territories,2022-05-13,101146,2022-05-08,41018,39563,20010,555,0
62,Nunavut,2022-05-13,78522,2022-05-08,32492,29911,15732,387,0
1,Canada,2022-05-13,83909161,2022-05-13,32572175,30775955,18348705,1221886,1
59,British Columbia,2022-05-14,11675163,2022-05-07,4510153,4362832,2730250,71802,0
48,Alberta,2022-05-14,8772287,2022-05-09,3592519,3394959,1664080,120729,0
47,Saskatchewan,2022-05-14,2470905,2022-05-07,973559,913292,496819,86119,0
46,Manitoba,2022-05-14,2853250,2022-05-08,1513737,974934,360447,4125,0
35,Ontario,2022-05-14,32420581,2022-05-13,12322851,11877295,7329151,891012,1
24,Quebec,2022-05-14,19734481,2022-05-12,7311326,7013438,4420835,,0
13,New Brunswick,2022-05-14,1766829,2022-05-08,699517,660511,392371,14413,0
12,Nova Scotia,2022-05-14,2313071,2022-05-08,900298,853736,524532,34505,0
11,Prince Edward Island,2022-05-14,371792,2022-05-08,145575,140773,81663,3781,0
10,Newfoundland and Labrador,2022-05-14,1270170,2022-05-08,492093,479186,294421,4444,0
60,Yukon,2022-05-14,95717,2022-05-08,37780,36755,20414,768,0
61,Northwest Territories,2022-05-14,101146,2022-05-08,41018,39563,20010,555,0
62,Nunavut,2022-05-14,78522,2022-05-08,32492,29911,15732,387,0
1,Canada,2022-05-14,83923914,2022-05-14,32572918,30777185,18350725,1232640,1
59,British Columbia,2022-05-15,11675163,2022-05-07,4510153,4362832,2730250,71802,0
48,Alberta,2022-05-15,8772287,2022-05-09,3592519,3394959,1664080,120729,0
47,Saskatchewan,2022-05-15,2470905,2022-05-07,973559,913292,496819,86119,0
46,Manitoba,2022-05-15,2853250,2022-05-08,1513737,974934,360447,4125,0
35,Ontario,2022-05-15,32426913,2022-05-14,12323172,11877810,7330185,895474,1
24,Quebec,2022-05-15,19734481,2022-05-12,7311326,7013438,4420835,,0
13,New Brunswick,2022-05-15,1766829,2022-05-08,699517,660511,392371,14413,0
12,Nova Scotia,2022-05-15,2313071,2022-05-08,900298,853736,524532,34505,0
11,Prince Edward Island,2022-05-15,371792,2022-05-08,145575,140773,81663,3781,0
10,Newfoundland and Labrador,2022-05-15,1270170,2022-05-08,492093,479186,294421,4444,0
60,Yukon,2022-05-15,95717,2022-05-08,37780,36755,20414,768,0
61,Northwest Territories,2022-05-15,101146,2022-05-08,41018,39563,20010,555,0
62,Nunavut,2022-05-15,78522,2022-05-08,32492,29911,15732,387,0
1,Canada,2022-05-15,83930246,2022-05-15,32573239,30777700,18351759,1237102,1
59,British Columbia,2022-05-16,11675163,2022-05-07,4510153,4362832,2730250,71802,0
48,Alberta,2022-05-16,8772287,2022-05-09,3592519,3394959,1664080,120729,0
47,Saskatchewan,2022-05-16,2470905,2022-05-07,973559,913292,496819,86119,0
46,Manitoba,2022-05-16,2858274,2022-05-15,1146172,1099062,603609,9405,1
35,Ontario,2022-05-16,32446409,2022-05-15,12323746,11878542,7331881,911951,1
24,Quebec,2022-05-16,19773206,2022-05-15,7311326,7013438,4425510,,1
13,New Brunswick,2022-05-16,1766829,2022-05-08,699517,660511,392371,14413,0
12,Nova Scotia,2022-05-16,2313071,2022-05-08,900298,853736,524532,34505,0
11,Prince Edward Island,2022-05-16,371792,2022-05-08,145575,140773,81663,3781,0
10,Newfoundland and Labrador,2022-05-16,1270170,2022-05-08,492093,479186,294421,4444,0
60,Yukon,2022-05-16,95717,2022-05-08,37780,36755,20414,768,0
61,Northwest Territories,2022-05-16,101146,2022-05-08,41018,39563,20010,555,0
62,Nunavut,2022-05-16,78522,2022-05-08,32492,29911,15732,387,0
1,Canada,2022-05-16,83993491,2022-05-16,32206248,30902560,18601292,1258859,1
59,British Columbia,2022-05-17,11675163,2022-05-07,4510153,4362832,2730250,71802,0
48,Alberta,2022-05-17,8772287,2022-05-09,3592519,3394959,1664080,120729,0
47,Saskatchewan,2022-05-17,2470905,2022-05-07,973559,913292,496819,86119,0
46,Manitoba,2022-05-17,2858274,2022-05-15,1146172,1099062,603609,9405,0
35,Ontario,2022-05-17,32472833,2022-05-16,12324592,11879578,7334093,934232,1
24,Quebec,2022-05-17,19783398,2022-05-16,7311326,7013438,4426708,,1
13,New Brunswick,2022-05-17,1766829,2022-05-08,699517,660511,392371,14413,0
12,Nova Scotia,2022-05-17,2313071,2022-05-08,900298,853736,524532,34505,0
11,Prince Edward Island,2022-05-17,371792,2022-05-08,145575,140773,81663,3781,0
10,Newfoundland and Labrador,2022-05-17,1270170,2022-05-08,492093,479186,294421,4444,0
60,Yukon,2022-05-17,95717,2022-05-08,37780,36755,20414,768,0
61,Northwest Territories,2022-05-17,101146,2022-05-08,41018,39563,20010,555,0
62,Nunavut,2022-05-17,78522,2022-05-08,32492,29911,15732,387,0
1,Canada,2022-05-17,84030107,2022-05-17,32207094,30903596,18604702,1281140,1
59,British Columbia,2022-05-18,11675163,2022-05-07,4510153,4362832,2730250,71802,0
48,Alberta,2022-05-18,8802520,2022-05-16,3594352,3397198,1669417,141553,1
47,Saskatchewan,2022-05-18,2470905,2022-05-07,973559,913292,496819,86119,0
46,Manitoba,2022-05-18,2858274,2022-05-15,1146172,1099062,603609,9405,0
35,Ontario,2022-05-18,32497177,2022-05-17,12325265,11880683,7336217,954652,1
24,Quebec,2022-05-18,19796570,2022-05-17,7311326,7013438,4428267,,1
13,New Brunswick,2022-05-18,1766829,2022-05-08,699517,660511,392371,14413,0
12,Nova Scotia,2022-05-18,2313071,2022-05-08,900298,853736,524532,34505,0
11,Prince Edward Island,2022-05-18,371792,2022-05-08,145575,140773,81663,3781,0
10,Newfoundland and Labrador,2022-05-18,1270170,2022-05-08,492093,479186,294421,4444,0
60,Yukon,2022-05-18,95717,2022-05-08,37780,36755,20414,768,0
61,Northwest Territories,2022-05-18,101146,2022-05-08,41018,39563,20010,555,0
62,Nunavut,2022-05-18,78522,2022-05-08,32492,29911,15732,387,0
1,Canada,2022-05-18,84097856,2022-05-18,32209600,30906940,18613722,1322384,1
59,British Columbia,2022-05-19,11721850,2022-05-14,4511719,4365568,2737325,107103,1
48,Alberta,2022-05-19,8802520,2022-05-16,3594352,3397198,1669417,141553,0
47,Saskatchewan,2022-05-19,2488443,2022-05-14,973906,913769,498339,100678,1
46,Manitoba,2022-05-19,2858274,2022-05-15,1146172,1099062,603609,9405,0
35,Ontario,2022-05-19,32521353,2022-05-18,12326050,11881772,7338403,974738,1
24,Quebec,2022-05-19,19811415,2022-05-18,7311326,7013438,4430072,,1
13,New Brunswick,2022-05-19,1766829,2022-05-08,699517,660511,392371,14413,0
12,Nova Scotia,2022-05-19,2313071,2022-05-08,900298,853736,524532,34505,0
11,Prince Edward Island,2022-05-19,371792,2022-05-08,145575,140773,81663,3781,0
10,Newfoundland and Labrador,2022-05-19,1270170,2022-05-08,492093,479186,294421,4444,0
60,Yukon,2022-05-19,95717,2022-05-08,37780,36755,20414,768,0
61,Northwest Territories,2022-05-19,101146,2022-05-08,41018,39563,20010,555,0
62,Nunavut,2022-05-19,78522,2022-05-08,32492,29911,15732,387,0
1,Canada,2022-05-19,84201102,2022-05-19,32212298,30911242,18626308,1392330,1
59,British Columbia,2022-05-20,11721850,2022-05-14,4511719,4365568,2737325,107103,0
48,Alberta,2022-05-20,8802520,2022-05-16,3594352,3397198,1669417,141553,0
47,Saskatchewan,2022-05-20,2488443,2022-05-14,973906,913769,498339,100678,0
46,Manitoba,2022-05-20,2858274,2022-05-15,1146172,1099062,603609,9405,0
35,Ontario,2022-05-20,32543635,2022-05-19,12326721,11882893,7340708,992893,1
24,Quebec,2022-05-20,19824501,2022-05-19,7312767,7016829,4431859,,1
13,New Brunswick,2022-05-20,1766829,2022-05-08,699517,660511,392371,14413,0
12,Nova Scotia,2022-05-20,2313071,2022-05-08,900298,853736,524532,34505,0
11,Prince Edward Island,2022-05-20,371792,2022-05-08,145575,140773,81663,3781,0
10,Newfoundland and Labrador,2022-05-20,1270170,2022-05-08,492093,479186,294421,4444,0
60,Yukon,2022-05-20,95717,2022-05-08,37780,36755,20414,768,0
61,Northwest Territories,2022-05-20,101146,2022-05-08,41018,39563,20010,555,0
62,Nunavut,2022-05-20,78522,2022-05-08,32492,29911,15732,387,0
1,Canada,2022-05-20,84236470,2022-05-20,32214410,30915754,18630400,1410485,1
59,British Columbia,2022-05-21,11721850,2022-05-14,4511719,4365568,2737325,107103,0
48,Alberta,2022-05-21,8802520,2022-05-16,3594352,3397198,1669417,141553,0
47,Saskatchewan,2022-05-21,2488443,2022-05-14,973906,913769,498339,100678,0
46,Manitoba,2022-05-21,2858274,2022-05-15,1146172,1099062,603609,9405,0
35,Ontario,2022-05-21,32554096,2022-05-20,12327252,11883741,7342165,1000508,1
24,Quebec,2022-05-21,19824501,2022-05-19,7312767,7016829,4431859,,0
13,New Brunswick,2022-05-21,1766829,2022-05-08,699517,660511,392371,14413,0
12,Nova Scotia,2022-05-21,2313071,2022-05-08,900298,853736,524532,34505,0
11,Prince Edward Island,2022-05-21,371792,2022-05-08,145575,140773,81663,3781,0
10,Newfoundland and Labrador,2022-05-21,1270170,2022-05-08,492093,479186,294421,4444,0
60,Yukon,2022-05-21,95717,2022-05-08,37780,36755,20414,768,0
61,Northwest Territories,2022-05-21,101146,2022-05-08,41018,39563,20010,555,0
62,Nunavut,2022-05-21,78522,2022-05-08,32492,29911,15732,387,0
1,Canada,2022-05-21,84246931,2022-05-21,32214941,30916602,18631857,1418100,1
59,British Columbia,2022-05-22,11721850,2022-05-14,4511719,4365568,2737325,107103,0
48,Alberta,2022-05-22,8802520,2022-05-16,3594352,3397198,1669417,141553,0
47,Saskatchewan,2022-05-22,2488443,2022-05-14,973906,913769,498339,100678,0
46,Manitoba,2022-05-22,2858274,2022-05-15,1146172,1099062,603609,9405,0
35,Ontario,2022-05-22,32558588,2022-05-21,12327491,11884169,7342921,1003572,1
24,Quebec,2022-05-22,19824501,2022-05-19,7312767,7016829,4431859,,0
13,New Brunswick,2022-05-22,1766829,2022-05-08,699517,660511,392371,14413,0
12,Nova Scotia,2022-05-22,2313071,2022-05-08,900298,853736,524532,34505,0
11,Prince Edward Island,2022-05-22,376200,2022-05-22,145642,140916,82083,7559,1
10,Newfoundland and Labrador,2022-05-22,1270170,2022-05-08,492093,479186,294421,4444,0
60,Yukon,2022-05-22,96884,2022-05-22,37793,36799,20509,1783,1
61,Northwest Territories,2022-05-22,101792,2022-05-22,41038,39600,20123,1031,1
62,Nunavut,2022-05-22,78930,2022-05-22,32517,30028,15822,563,1
1,Canada,2022-05-22,84258052,2022-05-22,32215305,30917371,18633331,1426609,1
59,British Columbia,2022-05-23,11721850,2022-05-14,4511719,4365568,2737325,107103,0
48,Alberta,2022-05-23,8802520,2022-05-16,3594352,3397198,1669417,141553,0
47,Saskatchewan,2022-05-23,2488443,2022-05-14,973906,913769,498339,100678,0
46,Manitoba,2022-05-23,2858274,2022-05-15,1146172,1099062,603609,9405,0
35,Ontario,2022-05-23,32561098,2022-05-22,12327600,11884316,7343333,1005411,1
24,Quebec,2022-05-23,19824501,2022-05-19,7312767,7016829,4431859,,0
13,New Brunswick,2022-05-23,1766829,2022-05-08,699517,660511,392371,14413,0
12,Nova Scotia,2022-05-23,2313071,2022-05-08,900298,853736,524532,34505,0
11,Prince Edward Island,2022-05-23,376200,2022-05-22,145642,140916,82083,7559,0
10,Newfoundland and Labrador,2022-05-23,1270170,2022-05-08,492093,479186,294421,4444,0
60,Yukon,2022-05-23,96884,2022-05-22,37793,36799,20509,1783,0
61,Northwest Territories,2022-05-23,101792,2022-05-22,41038,39600,20123,1031,0
62,Nunavut,2022-05-23,78930,2022-05-22,32517,30028,15822,563,0
1,Canada,2022-05-23,84260562,2022-05-23,32215414,30917518,18633743,1428448,1
59,British Columbia,2022-05-24,11721850,2022-05-14,4511719,4365568,2737325,107103,0
48,Alberta,2022-05-24,8802520,2022-05-16,3594352,3397198,1669417,141553,0
47,Saskatchewan,2022-05-24,2488443,2022-05-14,973906,913769,498339,100678,0
46,Manitoba,2022-05-24,2858274,2022-05-15,1146172,1099062,603609,9405,0
35,Ontario,2022-05-24,32580348,2022-05-23,12328246,11885230,7345247,1021156,1
24,Quebec,2022-05-24,19852705,2022-05-23,7312767,7016829,4436610,,1
13,New Brunswick,2022-05-24,1766829,2022-05-08,699517,660511,392371,14413,0
12,Nova Scotia,2022-05-24,2313071,2022-05-08,900298,853736,524532,34505,0
11,Prince Edward Island,2022-05-24,376200,2022-05-22,145642,140916,82083,7559,0
10,Newfoundland and Labrador,2022-05-24,1270170,2022-05-08,492093,479186,294421,4444,0
60,Yukon,2022-05-24,96884,2022-05-22,37793,36799,20509,1783,0
61,Northwest Territories,2022-05-24,101792,2022-05-22,41038,39600,20123,1031,0
62,Nunavut,2022-05-24,78930,2022-05-22,32517,30028,15822,563,0
1,Canada,2022-05-24,84308016,2022-05-24,32216060,30918432,18640408,1444193,1
59,British Columbia,2022-05-25,11721850,2022-05-14,4511719,4365568,2737325,107103,0
48,Alberta,2022-05-25,8825042,2022-05-23,3595837,3399320,1673845,156040,1
47,Saskatchewan,2022-05-25,2488443,2022-05-14,973906,913769,498339,100678,0
46,Manitoba,2022-05-25,2858274,2022-05-15,1146172,1099062,603609,9405,0
35,Ontario,2022-05-25,32600889,2022-05-24,12328895,11886155,7347123,1038210,1
24,Quebec,2022-05-25,19862505,2022-05-24,7312767,7016829,4438073,,1
13,New Brunswick,2022-05-25,1766829,2022-05-08,699517,660511,392371,14413,0
12,Nova Scotia,2022-05-25,2313071,2022-05-08,900298,853736,524532,34505,0
11,Prince Edward Island,2022-05-25,376200,2022-05-22,145642,140916,82083,7559,0
10,Newfoundland and Labrador,2022-05-25,1270170,2022-05-08,492093,479186,294421,4444,0
60,Yukon,2022-05-25,96884,2022-05-22,37793,36799,20509,1783,0
61,Northwest Territories,2022-05-25,101792,2022-05-22,41038,39600,20123,1031,0
62,Nunavut,2022-05-25,78930,2022-05-22,32517,30028,15822,563,0
1,Canada,2022-05-25,84360879,2022-05-25,32218194,30921479,18648175,1475734,1
59,British Columbia,2022-05-26,11773329,2022-05-21,4513175,4368237,2743594,148181,1
48,Alberta,2022-05-26,8825042,2022-05-23,3595837,3399320,1673845,156040,0
47,Saskatchewan,2022-05-26,2500350,2022-05-21,974184,914182,499504,110292,1
46,Manitoba,2022-05-26,2858274,2022-05-15,1146172,1099062,603609,9405,0
35,Ontario,2022-05-26,32622553,2022-05-25,12329700,11887194,7349144,1055985,1
24,Quebec,2022-05-26,19872194,2022-05-25,7312767,7016829,4439670,,1
13,New Brunswick,2022-05-26,1766829,2022-05-08,699517,660511,392371,14413,0
12,Nova Scotia,2022-05-26,2313071,2022-05-08,900298,853736,524532,34505,0
11,Prince Edward Island,2022-05-26,376200,2022-05-22,145642,140916,82083,7559,0
10,Newfoundland and Labrador,2022-05-26,1270170,2022-05-08,492093,479186,294421,4444,0
60,Yukon,2022-05-26,96884,2022-05-22,37793,36799,20509,1783,0
61,Northwest Territories,2022-05-26,101792,2022-05-22,41038,39600,20123,1031,0
62,Nunavut,2022-05-26,78930,2022-05-22,32517,30028,15822,563,0
1,Canada,2022-05-26,84455618,2022-05-26,32220733,30925600,18659227,1544201,1
59,British Columbia,2022-05-27,11773329,2022-05-21,4513175,4368237,2743594,148181,0
48,Alberta,2022-05-27,8825042,2022-05-23,3595837,3399320,1673845,156040,0
47,Saskatchewan,2022-05-27,2500350,2022-05-21,974184,914182,499504,110292,0
46,Manitoba,2022-05-27,2858274,2022-05-15,1146172,1099062,603609,9405,0
35,Ontario,2022-05-27,32641836,2022-05-26,12330410,11888318,7351248,1071285,1
24,Quebec,2022-05-27,19881896,2022-05-26,7313961,7019843,4441065,,1
13,New Brunswick,2022-05-27,1766829,2022-05-08,699517,660511,392371,14413,0
12,Nova Scotia,2022-05-27,2313071,2022-05-08,900298,853736,524532,34505,0
11,Prince Edward Island,2022-05-27,376200,2022-05-22,145642,140916,82083,7559,0
10,Newfoundland and Labrador,2022-05-27,1270170,2022-05-08,492093,479186,294421,4444,0
60,Yukon,2022-05-27,96884,2022-05-22,37793,36799,20509,1783,0
61,Northwest Territories,2022-05-27,101792,2022-05-22,41038,39600,20123,1031,0
62,Nunavut,2022-05-27,78930,2022-05-22,32517,30028,15822,563,0
1,Canada,2022-05-27,84484603,2022-05-27,32222637,30929738,18662726,1559501,1
59,British Columbia,2022-05-28,11773329,2022-05-21,4513175,4368237,2743594,148181,0
48,Alberta,2022-05-28,8825042,2022-05-23,3595837,3399320,1673845,156040,0
47,Saskatchewan,2022-05-28,2500350,2022-05-21,974184,914182,499504,110292,0
46,Manitoba,2022-05-28,2858274,2022-05-15,1146172,1099062,603609,9405,0
35,Ontario,2022-05-28,32653866,2022-05-27,12331155,11889578,7352944,1079588,1
24,Quebec,2022-05-28,19881896,2022-05-26,7313961,7019843,4441065,,0
13,New Brunswick,2022-05-28,1766829,2022-05-08,699517,660511,392371,14413,0
12,Nova Scotia,2022-05-28,2313071,2022-05-08,900298,853736,524532,34505,0
11,Prince Edward Island,2022-05-28,376200,2022-05-22,145642,140916,82083,7559,0
10,Newfoundland and Labrador,2022-05-28,1270170,2022-05-08,492093,479186,294421,4444,0
60,Yukon,2022-05-28,96884,2022-05-22,37793,36799,20509,1783,0
61,Northwest Territories,2022-05-28,101792,2022-05-22,41038,39600,20123,1031,0
62,Nunavut,2022-05-28,78930,2022-05-22,32517,30028,15822,563,0
1,Canada,2022-05-28,84496633,2022-05-28,32223382,30930998,18664422,1567804,1
59,British Columbia,2022-05-29,11773329,2022-05-21,4513175,4368237,2743594,148181,0
48,Alberta,2022-05-29,8825042,2022-05-23,3595837,3399320,1673845,156040,0
47,Saskatchewan,2022-05-29,2500350,2022-05-21,974184,914182,499504,110292,0
46,Manitoba,2022-05-29,2858274,2022-05-15,1146172,1099062,603609,9405,0
35,Ontario,2022-05-29,32658397,2022-05-28,12331461,11890104,7353678,1082548,1
24,Quebec,2022-05-29,19881896,2022-05-26,7313961,7019843,4441065,,0
13,New Brunswick,2022-05-29,1766829,2022-05-08,699517,660511,392371,14413,0
12,Nova Scotia,2022-05-29,2313071,2022-05-08,900298,853736,524532,34505,0
11,Prince Edward Island,2022-05-29,376200,2022-05-22,145642,140916,82083,7559,0
10,Newfoundland and Labrador,2022-05-29,1270170,2022-05-08,492093,479186,294421,4444,0
60,Yukon,2022-05-29,96884,2022-05-22,37793,36799,20509,1783,0
61,Northwest Territories,2022-05-29,101792,2022-05-22,41038,39600,20123,1031,0
62,Nunavut,2022-05-29,78930,2022-05-22,32517,30028,15822,563,0
1,Canada,2022-05-29,84501164,2022-05-29,32223688,30931524,18665156,1570764,1
59,British Columbia,2022-05-30,11773329,2022-05-21,4513175,4368237,2743594,148181,0
48,Alberta,2022-05-30,8825042,2022-05-23,3595837,3399320,1673845,156040,0
47,Saskatchewan,2022-05-30,2500350,2022-05-21,974184,914182,499504,110292,0
46,Manitoba,2022-05-30,2866825,2022-05-22,1146354,1099472,604930,16041,1
35,Ontario,2022-05-30,32671845,2022-05-29,12332019,11890828,7355277,1093092,1
24,Quebec,2022-05-30,19903377,2022-05-29,7313961,7019843,4445313,,1
13,New Brunswick,2022-05-30,1786574,2022-05-22,699100,659899,391696,31794,1
12,Nova Scotia,2022-05-30,2340384,2022-05-22,900733,854790,527919,56942,1
11,Prince Edward Island,2022-05-30,376200,2022-05-22,145642,140916,82083,7559,0
10,Newfoundland and Labrador,2022-05-30,1280012,2022-05-22,492286,479529,296184,11916,1
60,Yukon,2022-05-30,96884,2022-05-22,37793,36799,20509,1783,0
61,Northwest Territories,2022-05-30,101792,2022-05-22,41038,39600,20123,1031,0
62,Nunavut,2022-05-30,78930,2022-05-22,32517,30028,15822,563,0
1,Canada,2022-05-30,84601544,2022-05-30,32224639,30933443,18676799,1635234,1
59,British Columbia,2022-05-31,11773329,2022-05-21,4513175,4368237,2743594,148181,0
48,Alberta,2022-05-31,8825042,2022-05-23,3595837,3399320,1673845,156040,0
47,Saskatchewan,2022-05-31,2500350,2022-05-21,974184,914182,499504,110292,0
46,Manitoba,2022-05-31,2866825,2022-05-22,1146354,1099472,604930,16041,0
35,Ontario,2022-05-31,32688370,2022-05-30,12332711,11891763,7357107,1106134,1
24,Quebec,2022-05-31,19908676,2022-05-30,7313961,7019843,4446259,,1
13,New Brunswick,2022-05-31,1786574,2022-05-22,699100,659899,391696,31794,0
12,Nova Scotia,2022-05-31,2340384,2022-05-22,900733,854790,527919,56942,0
11,Prince Edward Island,2022-05-31,376200,2022-05-22,145642,140916,82083,7559,0
10,Newfoundland and Labrador,2022-05-31,1280012,2022-05-22,492286,479529,296184,11916,0
60,Yukon,2022-05-31,96884,2022-05-22,37793,36799,20509,1783,0
61,Northwest Territories,2022-05-31,101792,2022-05-22,41038,39600,20123,1031,0
62,Nunavut,2022-05-31,78930,2022-05-22,32517,30028,15822,563,0
1,Canada,2022-05-31,84623368,2022-05-31,32225331,30934378,18679575,1648276,1
59,British Columbia,2022-06-01,11773329,2022-05-21,4513175,4368237,2743594,148181,0
48,Alberta,2022-06-01,8847062,2022-05-30,3597456,3401459,1678557,169590,1
47,Saskatchewan,2022-06-01,2500350,2022-05-21,974184,914182,499504,110292,0
46,Manitoba,2022-06-01,2866825,2022-05-22,1146354,1099472,604930,16041,0
35,Ontario,2022-06-01,32702866,2022-05-31,12333249,11892588,7358749,1117536,1
24,Quebec,2022-06-01,19915293,2022-05-31,7313961,7019843,4447297,,1
13,New Brunswick,2022-06-01,1786574,2022-05-22,699100,659899,391696,31794,0
12,Nova Scotia,2022-06-01,2340384,2022-05-22,900733,854790,527919,56942,0
11,Prince Edward Island,2022-06-01,376200,2022-05-22,145642,140916,82083,7559,0
10,Newfoundland and Labrador,2022-06-01,1280012,2022-05-22,492286,479529,296184,11916,0
60,Yukon,2022-06-01,96884,2022-05-22,37793,36799,20509,1783,0
61,Northwest Territories,2022-06-01,101792,2022-05-22,41038,39600,20123,1031,0
